管理番号,No.,都道府県,面接拠点,分野,種別,名称,募集人数,派遣先事業所住所,業務内容,案件キャッチコピー,最寄り駅,最寄り駅より車で,通勤方法,送迎バス,日勤のみフラグ,就業時間,休憩,土日休みフラグ,勤務形態・休日,入社予定日,社宅補助（契約社員）,性別,備考,勤務地市町村
A-11派生2,A-11,愛知県,,エンジニア,機械,大手自動車部品メーカー,5,愛知県安城市高棚新道1,生産技術サポート,未経験者でもスタートできるエンジニア職！,JR東刈谷駅,自動車10分,電車・バス・自動車・バイク・自転車,有（無料）,日勤のみ,8：40～17:40,60分,土日休み,5勤2休　※祝日は出勤,即日～1月末まで,,,自動車次世代製品の開発に係るチャンス！未経験者歓迎,愛知県 安城市
A-11派生3,A-11,愛知県,,エンジニア,機械,大手自動車部品メーカー,5,愛知県安城市高棚新道1,生産技術サポート,未経験者でもスタートできるエンジニア職！,JR東刈谷駅,自動車10分,電車・バス・自動車・バイク・自転車,有（無料）,日勤のみ,8：40～17:40,60分,土日休み,5勤2休　※祝日は出勤,即日～1月末まで,,,自動車次世代製品の開発に係るチャンス！未経験者歓迎,愛知県 安城市
A-11派生4,A-11,愛知県,,エンジニア,機械,大手自動車部品メーカー,5,愛知県安城市高棚新道1,生産技術サポート,未経験者でもスタートできるエンジニア職！,JR東刈谷駅,自動車10分,電車・バス・自動車・バイク・自転車,有（無料）,日勤のみ,8：40～17:40,60分,土日休み,5勤2休　※祝日は出勤,即日～1月末まで,,,自動車次世代製品の開発に係るチャンス！未経験者歓迎,愛知県 安城市
A-11派生5,A-11,愛知県,,エンジニア,機械,大手自動車部品メーカー,5,愛知県安城市高棚新道1,生産技術サポート,未経験者でもスタートできるエンジニア職！,JR東刈谷駅,自動車10分,電車・バス・自動車・バイク・自転車,有（無料）,日勤のみ,8：40～17:40,60分,土日休み,5勤2休　※祝日は出勤,即日～1月末まで,,,自動車次世代製品の開発に係るチャンス！未経験者歓迎,愛知県 安城市
A-12派生1,A-12,愛知県,,エンジニア,機械,大手自動車部品メーカー,5,愛知県安城市高棚新道1,生産管理サポート,未経験者でもスタートできるエンジニア職！,JR東刈谷駅,自動車10分,電車・バス・自動車・バイク・自転車,有（無料）,日勤のみ,8：40～17:40,60分,土日休み,5勤2休　※祝日は出勤,即日～1月末まで,,,人気のオフィスワークでの就業！未経験者歓迎,愛知県 安城市
A-12派生2,A-12,愛知県,,エンジニア,機械,大手自動車部品メーカー,5,愛知県安城市高棚新道1,生産管理サポート,未経験者でもスタートできるエンジニア職！,JR東刈谷駅,自動車10分,電車・バス・自動車・バイク・自転車,有（無料）,日勤のみ,8：40～17:40,60分,土日休み,5勤2休　※祝日は出勤,即日～1月末まで,,,人気のオフィスワークでの就業！未経験者歓迎,愛知県 安城市
A-12派生3,A-12,愛知県,,エンジニア,機械,大手自動車部品メーカー,5,愛知県安城市高棚新道1,生産管理サポート,未経験者でもスタートできるエンジニア職！,JR東刈谷駅,自動車10分,電車・バス・自動車・バイク・自転車,有（無料）,日勤のみ,8：40～17:40,60分,土日休み,5勤2休　※祝日は出勤,即日～1月末まで,,,人気のオフィスワークでの就業！未経験者歓迎,愛知県 安城市
A-12派生4,A-12,愛知県,,エンジニア,機械,大手自動車部品メーカー,5,愛知県安城市高棚新道1,生産管理サポート,未経験者でもスタートできるエンジニア職！,JR東刈谷駅,自動車10分,電車・バス・自動車・バイク・自転車,有（無料）,日勤のみ,8：40～17:40,60分,土日休み,5勤2休　※祝日は出勤,即日～1月末まで,,,人気のオフィスワークでの就業！未経験者歓迎,愛知県 安城市
A-12派生5,A-12,愛知県,,エンジニア,機械,大手自動車部品メーカー,5,愛知県安城市高棚新道1,生産管理サポート,未経験者でもスタートできるエンジニア職！,JR東刈谷駅,自動車10分,電車・バス・自動車・バイク・自転車,有（無料）,日勤のみ,8：40～17:40,60分,土日休み,5勤2休　※祝日は出勤,即日～1月末まで,,,人気のオフィスワークでの就業！未経験者歓迎,愛知県 安城市
A-13派生1,A-13,愛知県,,エンジニア,機械,大手自動車部品メーカー,5,愛知県安城市高棚新道1,品質検査サポート,未経験者でもスタートできるエンジニア職！,JR東刈谷駅,自動車10分,電車・バス・自動車・バイク・自転車,有（無料）,日勤のみ,8：40～17:40,60分,土日休み,5勤2休　※祝日は出勤,即日～1月末まで,,,自動車次世代製品の開発に係るチャンス！未経験者歓迎,愛知県 安城市
A-13派生2,A-13,愛知県,,エンジニア,機械,大手自動車部品メーカー,5,愛知県安城市高棚新道1,品質検査サポート,未経験者でもスタートできるエンジニア職！,JR東刈谷駅,自動車10分,電車・バス・自動車・バイク・自転車,有（無料）,日勤のみ,8：40～17:40,60分,土日休み,5勤2休　※祝日は出勤,即日～1月末まで,,,自動車次世代製品の開発に係るチャンス！未経験者歓迎,愛知県 安城市
A-13派生3,A-13,愛知県,,エンジニア,機械,大手自動車部品メーカー,5,愛知県安城市高棚新道1,品質検査サポート,未経験者でもスタートできるエンジニア職！,JR東刈谷駅,自動車10分,電車・バス・自動車・バイク・自転車,有（無料）,日勤のみ,8：40～17:40,60分,土日休み,5勤2休　※祝日は出勤,即日～1月末まで,,,自動車次世代製品の開発に係るチャンス！未経験者歓迎,愛知県 安城市
A-13派生4,A-13,愛知県,,エンジニア,機械,大手自動車部品メーカー,5,愛知県安城市高棚新道1,品質検査サポート,未経験者でもスタートできるエンジニア職！,JR東刈谷駅,自動車10分,電車・バス・自動車・バイク・自転車,有（無料）,日勤のみ,8：40～17:40,60分,土日休み,5勤2休　※祝日は出勤,即日～1月末まで,,,自動車次世代製品の開発に係るチャンス！未経験者歓迎,愛知県 安城市
A-13派生5,A-13,愛知県,,エンジニア,機械,大手自動車部品メーカー,5,愛知県安城市高棚新道1,品質検査サポート,未経験者でもスタートできるエンジニア職！,JR東刈谷駅,自動車10分,電車・バス・自動車・バイク・自転車,有（無料）,日勤のみ,8：40～17:40,60分,土日休み,5勤2休　※祝日は出勤,即日～1月末まで,,,自動車次世代製品の開発に係るチャンス！未経験者歓迎,愛知県 安城市
A-14派生1,A-14,愛知県,,エンジニア,機械,大手自動車部品メーカー,5,愛知県豊田市西広瀬町桐ケ洞543,生産技術サポート,未経験者でもスタートできるエンジニア職！,愛知環状鉄道トヨタ市駅,自動車30分,電車・バス・自動車・バイク・自転車,有（無料）,日勤のみ,8：40～17:40,60分,土日休み,5勤2休　※祝日は出勤,即日～1月末まで,,,自動車次世代製品の開発に係るチャンス！未経験者歓迎,愛知県 豊田市
