管理番号,案件番号,ステータス*,初回入力日*,更新日*,企業名*,都道府県（配属先）*,市区町村（配属先）*,最寄駅（配属先）*,雇用形態*,種別,業務内容*,求めるスキル*,開発対象*,想定年収*,勤務h*,残業時間（h）*,受注数,未経験者,40代以上,外国籍,その他・補足事項（アピールポイントなど）,勤務地市町村
nk276IE,YKe000481,変更,2021/7/6,2024/8/19,東芝情報ｼｽﾃﾑ,神奈川県,川崎市,川崎,正社員/契約社員,IT,論理回路設計検証作業 ・Verilogによる回路設計、SystemVerilogによる検証 ・要求仕様書からVerilog回路設計時に詳細設計仕様書作成とRTLコーディング、検証仕様書作成とSystemVerilogで検証実施するもの,＜MUST＞ ・Verilog/SystemVerilogの設計検証の実務経験があること （少なくとも直近3年程度) ・EDAシミュレータ使用経験があること(Ex.SynopsysVCS) ・スクリプト言語の読解とその活用ができること(bash、csh、Python等) ＜WANT＞ ・UVMによる検証経験がある ・自発的に行動できること ・コミュニケーションが良好で自立して作業ができる,LSI,400万～,9:00～18:00,20h,6,不可,可,可,,不明
nk277II1,OSi000503,-,2021/7/6,2024/9/11,北陸ｺﾝﾋﾟｭｰﾀ･ｻｰﾋﾞｽ富山,富山県,富山市,婦中鵜坂,正社員,IT,システム開発 ・Java、JSP、SQLのいずれかの言語を使用しての開発業務,・Java、JSP、SQL経験,システム,350万円～600万円,9:00～18:00,10～30h,,,,,No392,不明
nk277II2,OSi000503,-,2021/7/6,2024/9/11,北陸ｺﾝﾋﾟｭｰﾀ･ｻｰﾋﾞｽ富山,富山県,富山市,婦中鵜坂,正社員,IT,システム開発 ・Java、JSP、SQLのいずれかの言語を使用しての開発業務,・Java、JSP、SQL経験,システム,350万円～600万円,9:00～18:00,10～30h,,,,,No392,不明
nk277IE,OSi000503,-,2021/7/6,2024/9/11,北陸ｺﾝﾋﾟｭｰﾀ･ｻｰﾋﾞｽ富山,富山県,富山市,婦中鵜坂,正社員,IT,システム開発 ・Java、JSP、SQLのいずれかの言語を使用しての開発業務,・Java、JSP、SQL経験,システム,350万円～600万円,9:00～18:00,10～30h,,,,,No392,不明
nk278II1,OSi000507,-,2021/7/8,2024/9/11,ｺﾑﾁｭｱ大阪,大阪府,大阪市,淀屋橋,正社員,IT,システム開発 ・intra-martによるシステム開発,・intra-martによる開発経験 ※ローコードによる開発は無,システム,350万円～600万円,9:00～18:00,10～30h,,,,,No396,不明
nk278II2,OSi000507,-,2021/7/8,2024/9/11,ｺﾑﾁｭｱ大阪,大阪府,大阪市,淀屋橋,正社員,IT,システム開発 ・intra-martによるシステム開発,・intra-martによる開発経験 ※ローコードによる開発は無,システム,350万円～600万円,9:00～18:00,10～30h,,,,,No396,不明
nk278IE,OSi000507,-,2021/7/8,2024/9/11,ｺﾑﾁｭｱ大阪,大阪府,大阪市,淀屋橋,正社員,IT,システム開発 ・intra-martによるシステム開発,・intra-martによる開発経験 ※ローコードによる開発は無,システム,350万円～600万円,9:00～18:00,10～30h,,,,,No396,不明
nk279RI1,OSe000526,変更,2021/7/9,2024/8/17,第一稀元素化学工業,大阪府,大阪市,平林,正社員/契約社員,R&D,無期金属酸化物の合成、分析,・対人スキル ・化学の知識,ジルコニア化合物,300万,9:00～17:30,10h,3,,,,,不明
nk279RI2,OSe000526,変更,2021/7/9,2024/8/17,第一稀元素化学工業,大阪府,大阪市,平林,正社員/契約社員,R&D,無期金属酸化物の合成、分析,・対人スキル ・化学の知識,ジルコニア化合物,300万,9:00～17:30,10h,3,,,,,不明
nk279RE,OSe000526,変更,2021/7/9,2024/8/17,第一稀元素化学工業,大阪府,大阪市,平林,正社員/契約社員,R&D,無期金属酸化物の合成、分析,・対人スキル ・化学の知識,ジルコニア化合物,300万,9:00～17:30,10h,3,,,,,不明
nk280IE,TKe000530,変更,2021/7/9,2024/9/2,日本電産ﾓﾋﾞﾘﾃｨ,長野県,飯田市,駄科,正社員,IT,車載電装部品のマーケティング･開発･生産,・設備設計経験（３D経験） ・コミュニケーション能力,設備,400万円以上,8:30～17:15(休憩45分),20h,複数,不可,不可,可,,不明
nk281IE,TKe000532,変更,2021/7/9,2024/9/2,日本電産ﾓﾋﾞﾘﾃｨ,長野県,飯田市,駄科,正社員,IT,車載電装部品のマーケティング･開発･生産,・PLC開発経験(オムロン・CJ経験) ・コミュニケーション能力,設備,400万円以上,8:30～17:15(休憩45分),20h,複数,不可,不可,可,,不明
nk282II1,OSi000533,-,2021/7/8,2024/9/11,金沢ｴﾝｼﾞﾆｱﾘﾝｸﾞｼｽﾃﾑｽﾞ金沢,石川県,金沢市,金沢,正社員,IT,プリンタードライバー開発保守・開発 ・対象OS：Windows、Mac、Linux、android,下記いずれかの開発経験 ・C/C++ ・Objectiv―C(Mac),システム,350万円～600万円,9:00～18:00,10～30h,,,,,No399,不明
nk282II2,OSi000533,-,2021/7/8,2024/9/11,金沢ｴﾝｼﾞﾆｱﾘﾝｸﾞｼｽﾃﾑｽﾞ金沢,石川県,金沢市,金沢,正社員,IT,プリンタードライバー開発保守・開発 ・対象OS：Windows、Mac、Linux、android,下記いずれかの開発経験 ・C/C++ ・Objectiv―C(Mac),システム,350万円～600万円,9:00～18:00,10～30h,,,,,No399,不明
nk282IE,OSi000533,-,2021/7/8,2024/9/11,金沢ｴﾝｼﾞﾆｱﾘﾝｸﾞｼｽﾃﾑｽﾞ金沢,石川県,金沢市,金沢,正社員,IT,プリンタードライバー開発保守・開発 ・対象OS：Windows、Mac、Linux、android,下記いずれかの開発経験 ・C/C++ ・Objectiv―C(Mac),システム,350万円～600万円,9:00～18:00,10～30h,,,,,No399,不明
nk283IE,SDe000538,-,2021/7/12,2024/8/8,東北ｼｽﾃﾑｽﾞｻﾎﾟｰﾄ盛岡,岩手県,盛岡市,JR盛岡駅,正社員,IT,VB.Netを使用した医療システム開発,・VB.Netでの開発経験,医療システム,300～400万円,9:00～18:00(休憩75分),20h,,不可,可,不可,,不明
nk284ME,YKe000563,変更,2021/7/12,2024/8/19,ﾀﾏﾃﾞｨｯｸ,神奈川県,茅ケ崎市,JR茅ヶ崎駅北口下車 「茅52」「茅53」「茅54」系統寒川駅南口行きのﾊﾞｽにて 「西の谷」下車徒歩7分,正社員/契約社員,機電,WHの経路設計,・経路設計経験※自立して設計ができる,自動車開発,400万円,9:00～18:00,20h,3,不可,可,不可,,不明
