管理番号,案件番号,ステータス*,初回入力日*,更新日*,企業名*,都道府県（配属先）*,市区町村（配属先）*,最寄駅（配属先）*,雇用形態*,種別,業務内容*,求めるスキル*,開発対象*,想定年収*,勤務h*,残業時間（h）*,受注数,未経験者,40代以上,外国籍,その他・補足事項（アピールポイントなど）,勤務地市町村
nk162IE,HT333,変更,2021/1/8,2024/6/4,ｿﾆｰｾﾐｺﾝﾀﾞｸﾀﾏﾆｭﾌｧｸﾁｬﾘﾝｸﾞ大分ﾃｸﾉﾛｼﾞｰｾﾝﾀｰ,大分県,大分市,大分駅,正社員,IT,製造間接-改善活動 ・SF-PJ推進に当たり、もの流し分析 ・システム化の提案,・半導体生産、プロセス技術経験,イメージセンサー,300万～450万,8:30～17:30,30h,3,不可,可,可,大手半導体企業のお仕事です。,不明
nk163OI1,HT334,変更,2021/1/8,2024/6/4,ｿﾆｰｾﾐｺﾝﾀﾞｸﾀﾏﾆｭﾌｧｸﾁｬﾘﾝｸﾞ大分ﾃｸﾉﾛｼﾞｰｾﾝﾀｰ,大分県,大分市,大分駅,正社員,その他,製造技術-ウエハ技術Litho工程ラインエンジニア業務。,(技術係業務補佐)Litho着工品流動判断、横展開条件出し、Litho関連設備レシピ作成等,イメージセンサー,300万～450万,8:30～17:30,30h,3,可,可,可,大手半導体企業のお仕事です。,不明
nk163OI2,HT334,変更,2021/1/8,2024/6/4,ｿﾆｰｾﾐｺﾝﾀﾞｸﾀﾏﾆｭﾌｧｸﾁｬﾘﾝｸﾞ大分ﾃｸﾉﾛｼﾞｰｾﾝﾀｰ,大分県,大分市,大分駅,正社員,その他,製造技術-ウエハ技術Litho工程ラインエンジニア業務。,(技術係業務補佐)Litho着工品流動判断、横展開条件出し、Litho関連設備レシピ作成等,イメージセンサー,300万～450万,8:30～17:30,30h,3,可,可,可,大手半導体企業のお仕事です。,不明
nk163OE,HT334,変更,2021/1/8,2024/6/4,ｿﾆｰｾﾐｺﾝﾀﾞｸﾀﾏﾆｭﾌｧｸﾁｬﾘﾝｸﾞ大分ﾃｸﾉﾛｼﾞｰｾﾝﾀｰ,大分県,大分市,大分駅,正社員,その他,製造技術-ウエハ技術Litho工程ラインエンジニア業務。,(技術係業務補佐)Litho着工品流動判断、横展開条件出し、Litho関連設備レシピ作成等,イメージセンサー,300万～450万,8:30～17:30,30h,3,可,可,可,大手半導体企業のお仕事です。,不明
nk164II1,HT335,変更,2021/1/8,2024/6/4,ｿﾆｰｾﾐｺﾝﾀﾞｸﾀﾏﾆｭﾌｧｸﾁｬﾘﾝｸﾞ大分ﾃｸﾉﾛｼﾞｰｾﾝﾀｰ,大分県,大分市,大分駅,正社員,IT,開発-デバイス技術開発,・Lot流動対応や試作特性評価,イメージセンサー,300万～450万,8:30～17:30,30h,3,可,可,可,大手半導体企業のお仕事です。,不明
nk164II2,HT335,変更,2021/1/8,2024/6/4,ｿﾆｰｾﾐｺﾝﾀﾞｸﾀﾏﾆｭﾌｧｸﾁｬﾘﾝｸﾞ大分ﾃｸﾉﾛｼﾞｰｾﾝﾀｰ,大分県,大分市,大分駅,正社員,IT,開発-デバイス技術開発,・Lot流動対応や試作特性評価,イメージセンサー,300万～450万,8:30～17:30,30h,3,可,可,可,大手半導体企業のお仕事です。,不明
nk164IE,HT335,変更,2021/1/8,2024/6/4,ｿﾆｰｾﾐｺﾝﾀﾞｸﾀﾏﾆｭﾌｧｸﾁｬﾘﾝｸﾞ大分ﾃｸﾉﾛｼﾞｰｾﾝﾀｰ,大分県,大分市,大分駅,正社員,IT,開発-デバイス技術開発,・Lot流動対応や試作特性評価,イメージセンサー,300万～450万,8:30～17:30,30h,3,可,可,可,大手半導体企業のお仕事です。,不明
nk165OE,HT341,変更,2021/1/8,2024/6/4,安川電機,福岡県,北九州市八幡西区,黒崎駅,正社員,その他,インバータの評価,・インバータの評価経験,イメージセンサー,400万～550万,8:30～17:30,30h,3,不可,可,可,大手半導体企業のお仕事です。,不明
nk166OE,HT361,変更,2021/1/8,2024/6/4,栄光ﾃﾞｻﾞｲﾝ&ｸﾘｴｰｼｮﾝ㈱,熊本県,熊本県菊池郡大津町,肥後大津駅,正社員,その他,・プラスチック加工、試作品製作及び量産部品製造に伴う金型メンテナンス業務等,・金型メンテナンス業務のベテラン人材,プラスチック加工全般 試作品製作及び量産部品,250万～350万,8:30～17:30,20h,3,不可,,不可,・希望年齢：60歳にて定年している様な方,熊本県 菊池郡大津町
nk167IE,HT371,変更,2021/1/8,2024/6/4,ﾒｲﾋﾞｽﾃﾞｻﾞｲﾝ,熊本県,熊本市中央区,南熊本駅,正社員,IT,半導体素子、集積回路等の電子部品の研究開発、設計 電気機器、電子機器、通信機器の部品及び材料の研究、開発、設計,・verilogやVHDLといったHDL(HardwareDesignLanguage)スキル保有者 ・LSIロジック設計経験者 専用ツール(Cadence社、Synopsys社、Mentor社等のツール)使用経験 ・FPGA設計経験者 FPGA開発ツール(Xilinx社Vivado、Intel(Altera)社Quartus等)使用経験 ・車載組込みシステム設計開発経験者 特に、機能安全規格(ISO26262)認証等の経験者 ・システムレベル開発経験者 特に、MBD(ModelBaseDevelopment)/MBSE(ModelBaseDesignEngineering)経験者や Matlab/simulink使用した開発経験者,半導体製造装置,300万～450万,8:30～17:30,30h,3,不可,,不可,,不明
nk168ME,HT373,変更,2021/1/8,2024/6/4,岩下ｴﾝｼﾞﾆｱﾘﾝｸﾞ北九州ﾃｸﾆｶﾙｾﾝﾀｰ,福岡県,北九州市,九工大前駅,正社員,機電,PLC制御設計,・制御設計から動作確認までできる,ディスペンサー、自動車塗布装置,400万円～,8:30～17:30,20h,3,不可,可,不可,大手自動車系メーカーのお仕事です。,不明
nk169ME,HT425,変更,2021/1/8,2024/6/4,HOYAFPD事業部FPD技術開発ｾﾝﾀｰ,熊本県,菊池郡大津町高尾野,肥後大津駅,正社員,機電,液晶パネル用フォトマスクのプロセス開発業務,・フォトリソ、露光、液晶関連のプロセス開発業務経験,液晶パネル用フォトマスク,400万～550万,8:30～17:30,20h,3,不可,,不可,,不明
nk170IE,HT453,変更,2021/4/2,2024/6/4,くまさんﾒﾃﾞｨｸｽ,熊本県,合志市福原,原水駅,正社員,IT,半導体洗浄装置の機械設計・電気設計業務,＜MUST＞ ・設計経験、装置組立経験、 ・理系専攻 ・コミュニケーション力 ・一般PCスキル,半導体製造装置,300万～450万,8:30～17:30,30h,20,不可,,不可,,不明
nk171IE,HT454,変更,2021/4/2,2024/6/4,山清工業九州,熊本県,合志市福原,原水駅,正社員,IT,半導体洗浄装置の機械設計・電気設計業務,＜MUST＞ ・設計経験者、装置組立経験 ・理系専攻 ・コミュニケーション力 ・一般PCスキル,半導体製造装置,300万～450万,8:30～17:30,30h,3,不可,,不可,,不明
nk172IE,HT455,変更,2021/4/2,2024/6/4,東京ｴﾚｸﾄﾛﾝ九州,熊本県,合志市福原,原水駅,正社員,IT,半導体製造装置のプロセス評価・実験・解析及び分析と評価報告書の作成業務,"＜MUST＞ ・ExcelでData整理ができる方（最低限、グラフ作成は必要） ・シフト勤務,夜勤,休日勤務ができる方、クリーンルームの作業に抵抗がない方 ・機械(装置や測定器)のオペレーションに抵抗がない方 ・半導体関連の経験(装置や測定器を使用した経験が有る等) ＜WANT＞ ・Start-Up業務経験者 ・有機溶剤作業主任者・特定化学物質等作業主任者の資格がある方(危険物取り扱いの資格がある方でも歓迎) ・薬液を取り扱った経験",半導体製造装置,300万～450万,8:30～17:30,30h,3,不可,,可,,不明
nk173IE,HT456,変更,2021/4/2,2024/6/4,東京ｴﾚｸﾄﾛﾝ九州,熊本県,合志市福原,原水駅,正社員,IT,半導体製造装置（CT/SCR/3DI）のソフトサポート業務 ・装置情報管理 ・ログ解析 ・現地エンジニアとの連絡/問い合わせ対応 ・現地でのトラブル調査/ソフトインストール/サポート,＜MUST＞ ・PC操作一般 ・コミュニケーション能力重視 ・出張可能なこと（要パスポート） ＜WANT＞ ・マクロ知識 ・語学力：英語、韓国語、中国語のいずれか ・半導体製造装置知見※業界に携わった経験 ・フィールドサポート経験,半導体製造装置,300万～450万,8:30～17:30,30h,3,不可,,可,,不明
nk174IE,HT457,変更,2021/4/2,2024/6/4,東京ｴﾚｸﾄﾛﾝ九州,熊本県,合志市福原,原水駅,正社員,IT,・各種ソフトウェアをフィールドにリリースする前に実機やシミュレータを用いて総合的に動作評価を行う ・各種ソフトウェアの潜在不具合を実機やシミュレータを用いて検出する ・上記2つ作業の効率化,・PC操作一般（Excel必須、Windows必須） ・ソフトウェアに関する基礎知識 ・コミュニケーション能力,半導体製造装置,300万～450万,8:30～17:30,30h,12,不可,,可,,不明
nk175IE,HT458,変更,2021/4/2,2024/6/4,ｿﾆｰｾﾐｺﾝﾀﾞｸﾀﾏﾆｭﾌｧｸﾁｬﾘﾝｸﾞ熊本TEC,熊本県,菊池郡菊陽町原水,原水駅,正社員,IT,CISテストシステム開発業務 ・新規CISデバイスのテストシステム開発に伴う、ハードウェア設計開発 ・プログラム作成、及び開発したシステムによるデバイス測定評価の実行 ・テスト部材のコストダウン、生産性改善のための時短作業等,・オシロスコープ、デジタルマルチメータなどの計測器オペレーション ・PC及びOffice（Excel、PowerPoint、Outlook）操作 ・VB、C言語などのプログラミング技術,イメージセンサー,400万～550万,8:30～17:30,35h,3,不可,,可,,不明
nk176IE,HT460,変更,2021/4/2,2024/6/4,ｿﾆｰｾﾐｺﾝﾀﾞｸﾀﾏﾆｭﾌｧｸﾁｬﾘﾝｸﾞ熊本TEC,熊本県,菊池郡菊陽町原水,原水駅,正社員,IT,イメージセンサーの測定システム開発,・ハードウェアとソフトウェアの開発スキル ・基礎的な電気回路の回路図や、用語が理解できる ・プログラム作成の為の、簡単なアルゴリズムが理解できる,イメージセンサー,400万～550万,8:30～17:30,45h,3,不可,,可,,不明
nk177IE,HT462,変更,2021/4/2,2024/6/4,ｿﾆｰｾﾐｺﾝﾀﾞｸﾀﾏﾆｭﾌｧｸﾁｬﾘﾝｸﾞ熊本TEC,熊本県,菊池郡菊陽町原水,原水駅,正社員,IT,商品化開発のウェハー試作業務及び試作自動化環境整備に関わる業務,・半導体プロセスに関する基本的な知識,イメージセンサー,400万～550万,8:30～17:30,35h,3,不可,,可,,不明
nk178IE,HT463,変更,2021/4/2,2024/6/4,ｿﾆｰｾﾐｺﾝﾀﾞｸﾀﾏﾆｭﾌｧｸﾁｬﾘﾝｸﾞ熊本TEC,熊本県,菊池郡菊陽町原水,原水駅,正社員,IT,IS製品の後工程アセンブリＰＬ業務としてイベント報告対応、後工程計画策定、投資、材料評価、量産導入,・プレゼンテーション、表計算、顕微鏡目視・計測、技術レポート作成,イメージセンサー,400万～550万,8:30～17:30,30h,3,不可,,可,,不明
nk179OE,HT464,変更,2021/4/2,2024/6/4,ｿﾆｰｾﾐｺﾝﾀﾞｸﾀﾏﾆｭﾌｧｸﾁｬﾘﾝｸﾞ熊本TEC,熊本県,菊池郡菊陽町原水,原水駅,正社員,その他,産機領域のCIS製品化業務全般 ・測定仕様策定から立上げ検証 ・信頼性認定取得に向けた故障解析、データ分析 ・Yup/Qup故障解析及びデータ分析,・数学/物理/化学等の基本的な理解力 ・Excel等のソフト使用スキル ・情報伝達のためのコミュニケーション力,イメージセンサー,400万～550万,8:30～17:30,35h,3,不可,,可,,不明
nk180OE,HT465,変更,2021/4/2,2024/6/4,ｿﾆｰｾﾐｺﾝﾀﾞｸﾀﾏﾆｭﾌｧｸﾁｬﾘﾝｸﾞ熊本TEC,熊本県,菊池郡菊陽町原水,原水駅,正社員,その他,イメージセンサの測定/信頼性業務 ・開発/量産の測定構想 ・仕様書作成 ・画像分析や評価ボードを使った評価、不良品の解析,・電気/電子回路に関する基礎知識,イメージセンサー,400万～550万,8:30～17:30,25h,3,不可,,可,,不明
nk181OE,HT466,変更,2021/4/2,2024/6/4,ｿﾆｰｾﾐｺﾝﾀﾞｸﾀﾏﾆｭﾌｧｸﾁｬﾘﾝｸﾞ熊本TEC,熊本県,菊池郡菊陽町原水,原水駅,正社員,その他,LITHO工程のエンジニア業務サポート ・測定機レシピ作成 ・データ取り ・Excel演算、まとめ,・Excel、PowerPointが使えること ・他者とのコミニュケーション能力 ・数字に強い,イメージセンサー,400万～550万,8:30～17:30,15h,3,不可,,可,,不明
nk182OE,HT467,変更,2021/4/2,2024/6/4,ｿﾆｰｾﾐｺﾝﾀﾞｸﾀﾏﾆｭﾌｧｸﾁｬﾘﾝｸﾞ熊本TEC,熊本県,菊池郡菊陽町原水,原水駅,正社員,その他,断面SEM観察作業を中心とした解析業務,教育、トレーニングを実施するため、特に必要なスキルはなし,イメージセンサー,400万～550万,8:30～17:30,30h,3,不可,,可,,不明
nk183IE,HT470,変更,2021/4/2,2024/6/4,ｿﾆｰｾﾐｺﾝﾀﾞｸﾀﾏﾆｭﾌｧｸﾁｬﾘﾝｸﾞ熊本TEC,熊本県,菊池郡菊陽町原水,原水駅,正社員,IT,車載デバイス開発,・PC操作（EXCEL/PPT),イメージセンサー,400万～550万,8:30～17:30,45h,3,不可,,可,,不明
nk184IE,HT471,変更,2021/4/2,2024/6/4,ｿﾆｰｾﾐｺﾝﾀﾞｸﾀﾏﾆｭﾌｧｸﾁｬﾘﾝｸﾞ熊本TEC,熊本県,菊池郡菊陽町原水,原水駅,正社員,IT,開発、量産におけるPQC確認,・事務機器操作,イメージセンサー,400万～550万,8:30～17:30,45h,3,不可,,可,,不明
nk185IE,HT472,変更,2021/4/2,2024/6/4,ｿﾆｰｾﾐｺﾝﾀﾞｸﾀﾏﾆｭﾌｧｸﾁｬﾘﾝｸﾞ熊本TEC,熊本県,菊池郡菊陽町原水,原水駅,正社員,IT,車載CISの量産フォロー 顧客クレーム、量産トラブル対応を行い、品質向上と安定的な量産に貢献する,"・PowerPoint,Excelを使った資料作成、データ整理",イメージセンサー,400万～550万,8:30～17:30,35h,3,不可,,可,,不明
nk186IE,HT474,変更,2021/4/2,2024/6/4,ｿﾆｰｾﾐｺﾝﾀﾞｸﾀﾏﾆｭﾌｧｸﾁｬﾘﾝｸﾞ熊本TEC,熊本県,菊池郡菊陽町原水,原水駅,正社員,IT,セキュリティ管理業務,・情報セキュリティに関する知識,イメージセンサー,400万～550万,8:30～17:30,20h,3,不可,,可,,不明
nk187IE,HT475,変更,2021/4/2,2024/6/4,ｿﾆｰｾﾐｺﾝﾀﾞｸﾀﾏﾆｭﾌｧｸﾁｬﾘﾝｸﾞ熊本TEC,熊本県,菊池郡菊陽町原水,原水駅,正社員,IT,FAシステムのソフトウェア開発、運用改善、SFA2-2品質管理システム（異常品、ＱＡ、ナレッジ）アプリ開発,・Java開発、OracleDBのデータベース開発スキル,イメージセンサー,400万～550万,8:30～17:30,35h,3,不可,,可,,不明
nk188IE,HT478,変更,2021/4/2,2024/6/4,ｿﾆｰｾﾐｺﾝﾀﾞｸﾀﾏﾆｭﾌｧｸﾁｬﾘﾝｸﾞ熊本TEC,熊本県,菊池郡菊陽町原水,原水駅,正社員,IT,SmartFactory-PJ自動解析機能強化に関する要件定義、仕様検討、設計・開発業務,・C#、VB、Oracle、SQLServer、WPF,イメージセンサー,400万～550万,8:30～17:30,30h,3,不可,,可,,不明
nk189OE,HT479,変更,2021/4/2,2024/6/4,ｿﾆｰｾﾐｺﾝﾀﾞｸﾀﾏﾆｭﾌｧｸﾁｬﾘﾝｸﾞ熊本TEC,熊本県,菊池郡菊陽町原水,原水駅,正社員,その他,前工程設備の品質改善、設備改善のためのセンシング展開に向けて、センサ仕様/接続仕様の立案作成及び接続作業実施及びEESバンド設定。,・ウェーハ工程の設備に関する知識 ・PCスキル（エクセル、パワーポイント、メール等）,イメージセンサー,400万～550万,8:30～17:30,30h,3,不可,,可,,不明
nk190OE,HT480,変更,2021/4/2,2024/6/4,ｿﾆｰｾﾐｺﾝﾀﾞｸﾀﾏﾆｭﾌｧｸﾁｬﾘﾝｸﾞ熊本TEC,熊本県,菊池郡菊陽町原水,原水駅,正社員,その他,自動搬送（AGV）の立上げ及び、標準類の整備,・基本的な機械メンテナンスの知識,イメージセンサー,400万～550万,8:30～17:30,30h,3,不可,,可,,不明
nk191IE,HT481,変更,2021/4/2,2024/6/4,ｿﾆｰｾﾐｺﾝﾀﾞｸﾀﾏﾆｭﾌｧｸﾁｬﾘﾝｸﾞ熊本TEC,熊本県,菊池郡菊陽町原水,原水駅,正社員,IT,SQC連操,・PC操作,イメージセンサー,400万～550万,8:30～17:30,30h,3,不可,,可,,不明
nk192OE,HT482,変更,2021/4/2,2024/6/4,ｿﾆｰｾﾐｺﾝﾀﾞｸﾀﾏﾆｭﾌｧｸﾁｬﾘﾝｸﾞ熊本TEC,熊本県,菊池郡菊陽町原水,原水駅,正社員,その他,II設備の保守,・ウェーハ工程の設備に関する知識 ・PCスキル,イメージセンサー,400万～550万,8:30～17:30,35h,3,不可,,可,,不明
